"t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","group"
298,213,131,138,145,243,633,1485,1661,1344,1133,1232,1341,1654,1885,2173,2270,2392,2230,2064,2059,1362,1130,725,4
301,232,156,120,136,234,537,1394,1547,1227,1103,1149,1284,1732,1796,1955,2193,2371,1774,1261,1153,904,717,444,3
282,196,140,118,165,229,560,1439,1580,1283,1123,1174,1194,1614,1754,2048,2333,2544,1992,1462,1156,990,813,475,3
561,289,161,129,166,321,921,1878,1843,1427,1247,1344,1331,1674,1824,2041,2295,2339,2012,1634,1379,1098,899,507,2
840,528,335,269,260,344,507,987,1206,1649,2141,2279,2212,2229,2331,2721,2828,2965,2894,2800,2424,2199,2091,1654,1
496,346,209,152,221,297,478,976,1110,1184,1418,1531,1318,1736,2075,2304,2619,2643,2585,2325,2217,2163,1728,1132,5
322,220,173,166,185,320,690,1446,1659,1362,1229,1349,1287,1672,1874,2094,2233,2284,2147,2363,2385,2096,1110,649,3
453,268,226,158,248,328,582,1130,1195,1305,1506,1707,1542,1762,2072,2228,2353,2375,2419,2396,2367,2264,2110,1900,5
690,451,366,227,277,334,518,882,1156,1528,1915,2167,2280,2331,2372,2432,2604,2725,2823,2275,2276,2135,2017,1169,1
300,192,162,121,126,240,555,1488,1526,1265,1077,1207,1295,1620,1909,1934,2026,2239,2133,2060,1838,1517,953,665,4
2073,554,234,161,208,568,1191,2067,1967,1552,1479,1513,1481,1874,2064,2142,2218,2333,2289,2100,2026,2023,1786,655,2
899,451,196,173,220,519,1259,2001,2056,1505,1412,1540,1474,1768,1976,2080,2267,2350,2273,2051,1926,1310,875,535,2
353,216,158,140,152,283,616,1567,1665,1278,1113,1231,1282,1614,1872,2099,2285,2472,2221,2161,1350,994,810,491,3
1874,877,246,176,198,511,1220,2027,2030,1568,1487,1499,1531,1789,2024,1906,2072,2456,2333,2158,2055,1845,1204,1558,2
234,175,134,104,134,221,501,1322,1560,1286,1098,1125,1153,1541,1623,1831,2054,2034,1580,1220,968,878,594,409,3
317,280,183,170,169,209,410,854,910,1073,1272,1492,1419,1563,1749,1904,2173,2300,1873,1592,1639,1544,1048,697,5
685,480,316,232,269,339,527,981,1244,1686,2073,2227,2008,2227,2461,2566,2831,2917,2849,2787,2439,2271,2132,1577,1
306,183,150,147,167,280,537,1444,1671,1350,1171,1249,1285,1667,1921,2026,2201,2330,2192,1389,1132,1000,685,534,3
292,204,140,118,118,203,560,1379,1520,1262,1115,1162,1234,1621,1712,1943,1962,2177,1994,1975,1417,1165,922,667,4
535,270,127,116,167,357,929,1968,1866,1518,1202,1385,1280,1319,1188,1918,2513,2569,2149,1492,1344,978,739,471,2
