"t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","group"
315,188,124,107,133,204,479,1329,1442,1176,1015,1061,1117,1355,1686,1905,2295,2624,1956,1577,1361,1168,844,603,4
445,310,213,164,165,251,383,873,1034,1110,1154,1292,1303,1514,1825,2285,2570,2750,2428,1967,1962,1943,1562,1080,5
714,487,311,209,231,268,359,668,906,1137,1585,1958,1945,2205,2686,2749,2950,2979,2309,2052,2361,2520,1948,989,1
559,247,126,89,135,296,859,1846,1808,1291,1137,1133,1141,1407,1568,1791,2151,2235,1835,1288,1054,935,720,427,2
312,176,127,107,138,227,524,1352,1473,1150,1005,994,1076,1403,1591,1791,2168,2277,1821,1325,1039,917,641,451,3
281,212,149,113,144,209,508,1366,1462,1131,1011,1103,1079,1385,1633,1822,2257,2325,1725,1281,1012,972,792,427,3
264,163,112,100,143,196,453,1343,1404,1120,1010,1030,1035,1360,1452,1576,1923,2021,1571,1250,978,865,723,448,3
313,166,123,96,122,201,422,1252,1459,1176,1039,1121,1203,1505,1659,1880,2194,2506,1885,1469,1249,1177,1030,726,4
477,335,246,167,200,256,425,1018,1074,1226,1432,1517,1342,1587,1906,2279,2784,2959,2913,2432,2408,2299,2161,1419,5
807,499,369,254,257,228,394,749,899,1190,1632,2109,1966,2579,2745,2777,2880,2892,2082,1918,2272,2555,1827,979,1
543,233,141,89,129,310,856,1760,1815,1324,1179,1192,1172,1554,1689,2004,2091,2132,1699,1262,996,896,767,463,2
299,195,116,106,119,238,506,1264,1430,1132,1047,1062,1037,1408,1437,1580,1894,1951,1526,1123,1003,835,747,452,3
322,181,130,116,145,205,475,1349,1426,1132,971,983,1049,1436,1550,1724,2002,2024,1745,1359,1059,953,810,508,3
257,185,161,98,131,227,503,1331,1415,1180,973,1106,1043,1428,1508,1668,2086,2350,1768,1248,1046,975,754,484,3
313,199,140,105,135,200,439,1287,1398,1190,1091,1168,1211,1619,1810,1979,2423,2498,2185,1540,1360,1299,1129,673,4
495,282,209,152,174,280,428,905,1027,1206,1401,1451,1352,1522,1924,2238,2601,2815,2626,2210,2214,1954,1751,1075,5
746,457,318,248,198,259,416,770,991,1191,1758,2115,1941,2544,2529,2745,2759,2932,2805,1979,2254,2593,2355,1512,1
558,277,159,103,140,278,831,1806,1748,1323,1163,1226,1211,1569,1726,1994,2208,2476,2071,1556,1327,1088,923,487,2
285,192,130,111,188,256,495,1273,1506,1230,1201,1162,1223,1514,1751,1961,2244,2324,1734,1360,1125,1029,811,535,3
323,192,144,113,168,203,480,1359,1433,1259,1110,1154,1206,1501,1678,1953,2367,2508,2121,1525,1272,1022,1047,611,3
341,218,142,128,143,238,507,1360,1463,1227,1152,1186,1278,1806,1940,2090,2505,2670,2551,1678,1325,1092,940,884,3
354,249,164,115,164,192,453,1282,1491,1254,1225,1289,1295,1603,1963,2208,2453,2701,2350,1875,1514,1374,1110,637,4
484,297,200,186,161,245,448,941,1026,1325,1356,1474,1524,1730,2182,2452,2552,2906,2830,2638,2570,2100,1683,1173,5
681,409,340,215,191,224,386,731,874,1229,1677,1964,2008,2430,2755,2804,2530,2260,1920,1705,2116,2411,1366,868,1
475,299,149,137,160,322,744,1649,1778,1435,1429,1504,1515,1796,2004,2185,2469,2667,2117,1657,1299,1053,869,535,2
